average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
7.468, 7.12, 7.84, 0.0
16.616, 16.18, 16.94, 0.1
17.9, 17.1, 18.56, 0.2
18.464, 18.08, 18.9, 0.3
18.088, 17.78, 18.26, 0.4
18.208, 17.78, 18.58, 0.5
17.364, 17.18, 17.52, 0.6
17.216, 17.0, 17.44, 0.7
16.068, 15.66, 16.56, 0.8
15.7, 14.82, 16.1, 0.9
14.736, 14.5, 14.92, 1.0
