average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
14.128, 13.72, 14.32, 0.0
27.136, 26.08, 27.92, 0.1
28.872, 28.08, 29.76, 0.2
28.92, 28.04, 29.88, 0.3
29.136, 28.76, 29.6, 0.4
27.984, 27.12, 28.76, 0.5
27.552, 27.0, 28.16, 0.6
26.568, 26.16, 27.16, 0.7
24.744, 24.16, 25.28, 0.8
23.64, 23.28, 24.6, 0.9
22.312, 21.88, 22.8, 1.0
