average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
15.69375, 13.75, 17.75, 0.0
16.59375, 14.5, 19.75, 0.05
17.075, 15.125, 18.375, 0.1
17.3, 13.875, 19.75, 0.15
17.48125, 15.5, 18.75, 0.2
17.53125, 16.0, 19.375, 0.25
18.34375, 16.25, 20.375, 0.3
17.85625, 16.125, 21.125, 0.35
17.53125, 16.125, 19.125, 0.4
18.29375, 16.25, 19.5, 0.45
18.33125, 16.875, 20.125, 0.5
18.28125, 17.125, 20.125, 0.55
18.2375, 16.25, 19.375, 0.6
17.925, 16.25, 20.0, 0.65
18.29375, 17.125, 20.0, 0.7
17.86875, 15.75, 18.875, 0.75
18.1625, 16.125, 20.125, 0.8
17.6125, 15.375, 18.875, 0.85
17.78125, 16.125, 19.5, 0.9
17.53125, 15.875, 19.375, 0.95
17.78125, 15.75, 21.125, 1.0
