average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
27.3, 23.5, 32.5, 0.0
26.6, 22.0, 34.0, 0.05
27.575, 23.0, 31.5, 0.1
26.825, 21.5, 32.5, 0.15
27.9, 23.5, 34.0, 0.2
27.1, 21.5, 32.0, 0.25
26.375, 22.5, 29.5, 0.3
26.425, 22.0, 30.5, 0.35
27.35, 22.0, 33.5, 0.4
27.025, 20.0, 31.5, 0.45
27.625, 21.0, 31.0, 0.5
27.325, 20.5, 33.5, 0.55
27.25, 23.0, 31.5, 0.6
27.45, 22.5, 32.0, 0.65
27.925, 22.5, 33.0, 0.7
27.325, 20.0, 35.0, 0.75
27.175, 21.5, 32.0, 0.8
27.825, 23.5, 32.0, 0.85
28.1, 24.0, 32.5, 0.9
27.725, 21.0, 32.5, 0.95
27.925, 22.5, 32.0, 1.0
