average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
18.7166666667, 15.6666666667, 21.3333333333, 0.0
19.4583333333, 17.1666666667, 21.3333333333, 0.05
20.1916666667, 18.6666666667, 21.6666666667, 0.1
19.6916666667, 17.8333333333, 22.0, 0.15
20.3083333333, 17.3333333333, 23.1666666667, 0.2
20.3416666667, 17.3333333333, 22.1666666667, 0.25
20.3666666667, 18.5, 24.0, 0.3
20.475, 18.6666666667, 22.6666666667, 0.35
20.625, 18.8333333333, 23.6666666667, 0.4
20.275, 19.0, 21.8333333333, 0.45
20.7666666667, 18.3333333333, 23.1666666667, 0.5
20.8583333333, 18.6666666667, 23.3333333333, 0.55
20.25, 18.0, 23.1666666667, 0.6
20.675, 18.0, 23.3333333333, 0.65
20.2583333333, 19.0, 21.6666666667, 0.7
20.6833333333, 19.0, 23.3333333333, 0.75
20.5, 17.8333333333, 24.1666666667, 0.8
20.7333333333, 18.3333333333, 22.8333333333, 0.85
20.3416666667, 18.5, 22.1666666667, 0.9
19.8583333333, 16.1666666667, 22.6666666667, 0.95
20.25, 17.1666666667, 22.1666666667, 1.0
