average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
27.6, 19.0, 34.0, 0.0
26.9, 19.0, 36.0, 0.05
29.25, 22.0, 42.0, 0.1
27.9, 20.0, 39.0, 0.15
28.25, 22.0, 42.0, 0.2
26.1, 21.0, 34.0, 0.25
28.4, 19.0, 37.0, 0.3
28.4, 20.0, 37.0, 0.35
28.55, 20.0, 39.0, 0.4
29.25, 24.0, 40.0, 0.45
28.15, 21.0, 41.0, 0.5
28.1, 21.0, 38.0, 0.55
27.05, 17.0, 33.0, 0.6
28.9, 22.0, 36.0, 0.65
28.7, 18.0, 35.0, 0.7
28.25, 19.0, 41.0, 0.75
27.25, 20.0, 37.0, 0.8
28.1, 21.0, 35.0, 0.85
28.75, 22.0, 38.0, 0.9
27.05, 16.0, 36.0, 0.95
28.6, 19.0, 37.0, 1.0
