average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
20.63, 18.6, 23.8, 0.0
21.89, 19.2, 24.2, 0.05
21.52, 18.8, 24.4, 0.1
21.84, 18.8, 25.0, 0.15
21.42, 18.8, 23.6, 0.2
22.13, 18.0, 25.2, 0.25
22.1, 18.4, 24.6, 0.3
22.0, 19.2, 24.4, 0.35
22.43, 19.6, 27.0, 0.4
22.77, 20.6, 25.2, 0.45
22.14, 20.4, 24.0, 0.5
21.98, 20.0, 24.8, 0.55
21.99, 19.6, 24.2, 0.6
22.1, 19.6, 24.4, 0.65
21.85, 18.6, 24.2, 0.7
22.05, 19.4, 24.2, 0.75
22.25, 20.6, 25.2, 0.8
21.78, 19.0, 25.8, 0.85
21.93, 19.2, 25.6, 0.9
22.12, 20.4, 24.0, 0.95
21.94, 19.2, 23.4, 1.0
