average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
25.25, 23.3333333333, 30.0, 0.0
26.2166666667, 23.0, 29.6666666667, 0.05
25.4, 22.0, 28.0, 0.1
25.9833333333, 22.6666666667, 29.0, 0.15
25.3333333333, 21.6666666667, 29.0, 0.2
26.3166666667, 22.6666666667, 31.0, 0.25
25.9833333333, 21.0, 31.3333333333, 0.3
26.0166666667, 21.6666666667, 30.0, 0.35
25.9166666667, 21.6666666667, 29.6666666667, 0.4
25.4166666667, 23.0, 28.0, 0.45
25.7333333333, 22.0, 30.0, 0.5
26.4166666667, 24.3333333333, 31.0, 0.55
25.6, 21.3333333333, 29.0, 0.6
25.95, 22.3333333333, 28.3333333333, 0.65
25.1166666667, 21.6666666667, 29.3333333333, 0.7
25.5666666667, 22.3333333333, 28.0, 0.75
25.5333333333, 20.3333333333, 30.0, 0.8
26.1166666667, 21.6666666667, 31.3333333333, 0.85
24.8833333333, 20.6666666667, 28.3333333333, 0.9
25.9333333333, 22.3333333333, 29.3333333333, 0.95
25.6, 21.6666666667, 30.0, 1.0
