average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
23.3125, 20.75, 26.75, 0.0
23.725, 20.75, 26.75, 0.05
23.2875, 20.0, 26.0, 0.1
24.0375, 22.0, 26.25, 0.15
23.825, 20.75, 29.0, 0.2
24.025, 21.0, 27.75, 0.25
23.1, 20.75, 25.75, 0.3
24.4, 21.75, 27.25, 0.35
24.45, 21.25, 26.75, 0.4
24.0125, 20.75, 26.0, 0.45
24.275, 21.5, 26.75, 0.5
23.3625, 20.25, 26.75, 0.55
24.1125, 20.5, 26.25, 0.6
24.1875, 21.0, 27.75, 0.65
23.8625, 21.0, 27.0, 0.7
23.6125, 19.75, 27.25, 0.75
24.1875, 21.25, 28.25, 0.8
23.7875, 20.5, 25.25, 0.85
23.2375, 19.75, 26.25, 0.9
24.0875, 21.75, 27.0, 0.95
23.9125, 22.0, 25.75, 1.0
