average delivered (percent), min delivered (percent), max delivered (percent), Message count
74.6, 60.0, 92.0, 25
76.9, 68.0, 88.0, 50
76.4, 65.3333333333, 86.6666666667, 75
75.9, 66.0, 82.0, 100
76.4, 70.4, 81.6, 125
74.9333333333, 69.3333333333, 82.6666666667, 150
75.1428571429, 70.8571428571, 82.8571428571, 175
76.6, 68.5, 83.0, 200
75.6888888889, 70.6666666667, 79.1111111111, 225
75.06, 71.2, 80.4, 250
74.8, 69.0909090909, 80.7272727273, 275
74.6, 69.6666666667, 78.6666666667, 300
73.2769230769, 67.6923076923, 77.5384615385, 325
72.9428571429, 69.1428571429, 76.2857142857, 350
71.7333333333, 67.2, 74.9333333333, 375
72.5375, 68.5, 76.25, 400
71.6823529412, 68.0, 75.7647058824, 425
71.3222222222, 66.6666666667, 75.3333333333, 450
70.2736842105, 66.9473684211, 73.6842105263, 475
71.1, 66.4, 75.0, 500
70.5333333333, 67.8095238095, 73.9047619048, 525
68.5818181818, 64.7272727273, 72.1818181818, 550
69.747826087, 67.4782608696, 74.4347826087, 575
68.3666666667, 65.8333333333, 72.6666666667, 600
67.224, 64.0, 70.56, 625
66.9153846154, 64.0, 70.9230769231, 650
65.8444444444, 62.0740740741, 68.7407407407, 675
64.2357142857, 60.2857142857, 67.5714285714, 700
65.0206896552, 62.8965517241, 68.0, 725
63.1066666667, 58.8, 65.4666666667, 750
62.7290322581, 59.3548387097, 65.8064516129, 775
61.63125, 58.875, 63.875, 800
