average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
9.728, 9.62666666667, 9.86666666667, 0.0
20.7093333333, 20.0533333333, 21.7866666667, 0.1
22.0853333333, 21.5466666667, 22.9333333333, 0.2
22.6186666667, 21.92, 23.12, 0.3
22.384, 21.6533333333, 22.8, 0.4
21.92, 21.36, 22.6933333333, 0.5
21.1466666667, 20.48, 21.5733333333, 0.6
20.3146666667, 19.36, 20.96, 0.7
19.296, 18.6933333333, 19.92, 0.8
18.2666666667, 17.6266666667, 18.96, 0.9
17.8933333333, 17.5466666667, 18.6933333333, 1.0
