average delivered (percent), min delivered (percent), max delivered (percent), Message count
42.6, 32.0, 72.0, 25
41.1, 24.0, 56.0, 50
35.6666666667, 24.0, 49.3333333333, 75
42.1, 34.0, 52.0, 100
38.12, 30.4, 46.4, 125
39.7333333333, 32.6666666667, 46.0, 150
37.8285714286, 31.4285714286, 45.1428571429, 175
39.8, 32.5, 50.0, 200
41.2222222222, 36.0, 47.5555555556, 225
40.42, 36.0, 48.8, 250
39.6, 36.3636363636, 44.7272727273, 275
40.4166666667, 35.0, 46.6666666667, 300
39.3230769231, 34.1538461538, 43.6923076923, 325
41.3285714286, 37.4285714286, 45.1428571429, 350
38.8533333333, 35.7333333333, 43.4666666667, 375
38.7375, 34.5, 42.5, 400
38.5294117647, 31.5294117647, 42.5882352941, 425
39.4888888889, 35.5555555556, 44.0, 450
38.9263157895, 35.1578947368, 42.7368421053, 475
39.52, 35.6, 44.2, 500
40.4380952381, 36.9523809524, 48.9523809524, 525
39.0545454545, 36.1818181818, 46.7272727273, 550
39.4695652174, 36.1739130435, 43.652173913, 575
39.875, 36.3333333333, 42.1666666667, 600
40.008, 35.04, 43.84, 625
39.1076923077, 36.3076923077, 43.2307692308, 650
39.437037037, 36.4444444444, 42.2222222222, 675
39.4785714286, 36.4285714286, 42.0, 700
40.0551724138, 36.9655172414, 43.1724137931, 725
39.16, 35.8666666667, 42.6666666667, 750
38.9612903226, 35.0967741935, 42.7096774194, 775
38.6625, 35.125, 42.25, 800
