average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
64.2166666667, 61.0, 67.3333333333, 0.0
82.4666666667, 79.0, 86.5, 0.05
84.4333333333, 80.6666666667, 86.3333333333, 0.1
84.4166666667, 81.1666666667, 88.0, 0.15
84.025, 82.5, 86.3333333333, 0.2
84.4416666667, 81.8333333333, 87.5, 0.25
84.075, 82.0, 86.5, 0.3
83.3666666667, 80.1666666667, 85.5, 0.35
81.65, 79.5, 83.5, 0.4
81.1916666667, 79.3333333333, 83.1666666667, 0.45
79.8916666667, 77.3333333333, 83.3333333333, 0.5
79.7, 77.5, 82.8333333333, 0.55
77.4583333333, 72.8333333333, 81.6666666667, 0.6
75.6916666667, 71.1666666667, 79.3333333333, 0.65
72.7, 69.6666666667, 77.0, 0.7
70.075, 66.3333333333, 74.0, 0.75
68.2916666667, 66.0, 70.8333333333, 0.8
64.2583333333, 60.3333333333, 67.1666666667, 0.85
61.4583333333, 58.5, 65.6666666667, 0.9
59.0416666667, 55.6666666667, 63.8333333333, 0.95
56.55, 51.8333333333, 58.3333333333, 1.0
