average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
44.215, 42.3, 46.5, 0.0
65.91, 64.1, 67.6, 0.05
68.61, 66.8, 71.7, 0.1
69.74, 66.7, 72.9, 0.15
69.285, 67.6, 71.5, 0.2
69.695, 66.0, 72.3, 0.25
68.565, 65.6, 71.5, 0.3
68.365, 65.9, 71.1, 0.35
66.815, 63.8, 69.1, 0.4
66.25, 63.3, 68.7, 0.45
65.385, 63.2, 68.3, 0.5
63.22, 59.9, 67.1, 0.55
61.56, 58.9, 64.5, 0.6
60.355, 57.0, 63.1, 0.65
58.37, 55.0, 60.9, 0.7
55.97, 52.7, 60.2, 0.75
53.64, 50.8, 57.0, 0.8
51.41, 48.7, 53.3, 0.85
50.535, 47.3, 54.6, 0.9
48.055, 45.3, 50.6, 0.95
46.485, 43.5, 49.8, 1.0
