average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
93.65, 89.5, 96.5, 0.0
94.8, 92.5, 98.0, 0.05
95.05, 92.0, 98.0, 0.1
94.925, 92.0, 97.5, 0.15
95.225, 92.0, 97.0, 0.2
95.5, 91.0, 98.0, 0.25
94.85, 91.5, 97.5, 0.3
95.05, 92.0, 97.5, 0.35
95.1, 92.5, 97.5, 0.4
94.375, 91.5, 97.0, 0.45
94.625, 91.5, 97.5, 0.5
94.575, 91.5, 97.0, 0.55
94.175, 92.0, 96.5, 0.6
93.8, 91.0, 96.0, 0.65
93.65, 90.0, 95.5, 0.7
93.275, 89.5, 95.5, 0.75
92.6, 89.5, 95.5, 0.8
91.15, 87.5, 95.0, 0.85
88.3, 84.5, 92.5, 0.9
85.975, 79.5, 90.5, 0.95
80.775, 76.0, 85.0, 1.0
