average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
9.66, 7.1, 11.2, 0.0
11.855, 9.9, 13.4, 0.05
14.97, 12.9, 16.1, 0.1
19.235, 17.4, 21.5, 0.15
25.425, 23.5, 27.8, 0.2
31.64, 29.7, 33.2, 0.25
36.58, 34.5, 42.5, 0.3
40.14, 38.2, 42.7, 0.35
42.615, 39.6, 45.8, 0.4
44.02, 42.1, 47.6, 0.45
44.9, 42.3, 47.6, 0.5
45.805, 43.9, 49.4, 0.55
45.865, 42.9, 48.6, 0.6
45.885, 43.8, 47.9, 0.65
44.805, 43.4, 47.3, 0.7
44.375, 42.1, 46.2, 0.75
43.375, 40.4, 45.6, 0.8
42.425, 39.5, 45.9, 0.85
40.945, 39.0, 43.1, 0.9
38.98, 36.9, 40.7, 0.95
37.6, 34.7, 40.8, 1.0
