average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
9.959375, 8.8125, 11.625, 0.0
12.284375, 10.9375, 13.5, 0.05
15.08125, 13.0, 17.0625, 0.1
19.178125, 17.375, 20.6875, 0.15
23.43125, 21.375, 25.0, 0.2
26.91875, 25.1875, 28.375, 0.25
30.028125, 28.125, 32.4375, 0.3
31.55625, 29.3125, 32.4375, 0.35
32.29375, 30.625, 33.75, 0.4
33.61875, 31.9375, 35.0625, 0.45
33.115625, 31.8125, 34.9375, 0.5
32.584375, 31.1875, 35.125, 0.55
32.33125, 30.6875, 33.9375, 0.6
32.01875, 30.375, 33.8125, 0.65
31.490625, 30.75, 32.25, 0.7
31.084375, 29.125, 32.875, 0.75
29.715625, 27.8125, 31.4375, 0.8
28.396875, 26.75, 30.125, 0.85
27.840625, 26.5, 29.4375, 0.9
26.7375, 24.25, 28.0, 0.95
24.7875, 23.3125, 26.6875, 1.0
