average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
9.88333333333, 8.33333333333, 11.5, 0.0
11.6, 8.5, 14.8333333333, 0.05
14.975, 13.0, 17.3333333333, 0.1
19.3166666667, 17.1666666667, 21.8333333333, 0.15
25.65, 22.1666666667, 29.0, 0.2
34.4166666667, 31.5, 37.6666666667, 0.25
40.8166666667, 37.3333333333, 43.5, 0.3
47.15, 43.5, 51.3333333333, 0.35
50.9833333333, 48.6666666667, 53.1666666667, 0.4
55.225, 52.8333333333, 58.8333333333, 0.45
57.9333333333, 55.1666666667, 61.0, 0.5
59.6, 56.3333333333, 61.8333333333, 0.55
60.3916666667, 56.0, 63.3333333333, 0.6
61.175, 57.8333333333, 65.6666666667, 0.65
60.9583333333, 57.0, 63.8333333333, 0.7
61.7416666667, 57.5, 66.3333333333, 0.75
60.8916666667, 59.0, 63.0, 0.8
60.0166666667, 56.1666666667, 64.5, 0.85
59.9333333333, 56.5, 62.3333333333, 0.9
57.3083333333, 53.1666666667, 61.3333333333, 0.95
56.2333333333, 53.3333333333, 59.3333333333, 1.0
