average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
9.78125, 7.375, 11.5, 0.0
11.95, 10.625, 14.375, 0.05
14.65, 12.625, 18.5, 0.1
20.05625, 17.625, 23.0, 0.15
25.75625, 23.375, 29.125, 0.2
32.26875, 29.25, 34.5, 0.25
39.45, 36.75, 42.125, 0.3
44.225, 41.75, 46.875, 0.35
46.975, 43.25, 48.5, 0.4
49.125, 46.875, 52.25, 0.45
50.84375, 47.875, 53.625, 0.5
52.05, 49.375, 55.875, 0.55
52.7875, 50.0, 56.5, 0.6
52.20625, 50.375, 55.0, 0.65
52.7, 50.75, 55.625, 0.7
51.7625, 49.25, 53.5, 0.75
51.2125, 49.125, 53.75, 0.8
50.075, 48.0, 53.5, 0.85
48.75625, 46.25, 51.0, 0.9
46.76875, 43.875, 49.625, 0.95
45.21875, 42.5, 49.375, 1.0
