average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
9.61428571429, 8.42857142857, 10.7142857143, 0.0
11.7321428571, 10.5, 13.3571428571, 0.05
15.1178571429, 13.2857142857, 16.4285714286, 0.1
19.0607142857, 17.2857142857, 20.7857142857, 0.15
24.3357142857, 21.7857142857, 26.5, 0.2
28.6964285714, 26.8571428571, 30.1428571429, 0.25
32.1321428571, 29.7142857143, 34.0, 0.3
34.2642857143, 32.7857142857, 37.2142857143, 0.35
35.6392857143, 33.6428571429, 38.7142857143, 0.4
36.2071428571, 33.2142857143, 39.0, 0.45
36.4607142857, 33.8571428571, 38.4285714286, 0.5
36.4714285714, 34.5, 38.5, 0.55
35.6107142857, 34.0, 37.0714285714, 0.6
35.8321428571, 34.2857142857, 37.7142857143, 0.65
34.8428571429, 33.0714285714, 36.2142857143, 0.7
34.3714285714, 32.3571428571, 35.9285714286, 0.75
32.825, 31.4285714286, 34.9285714286, 0.8
32.4821428571, 31.1428571429, 34.2142857143, 0.85
30.825, 28.7142857143, 32.0, 0.9
30.1392857143, 28.4285714286, 31.7857142857, 0.95
28.2285714286, 26.6428571429, 30.0, 1.0
