average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
10.0125, 8.25, 12.75, 0.0
12.625, 10.5, 15.25, 0.05
15.1, 12.25, 18.5, 0.1
20.0375, 16.75, 23.25, 0.15
25.725, 21.25, 28.0, 0.2
33.825, 28.75, 37.75, 0.25
41.7125, 37.0, 45.0, 0.3
48.7125, 43.5, 53.0, 0.35
54.5, 50.25, 61.0, 0.4
59.3125, 55.0, 62.75, 0.45
63.1625, 60.75, 66.25, 0.5
65.325, 62.0, 68.0, 0.55
68.6875, 65.75, 75.5, 0.6
69.875, 65.5, 74.0, 0.65
72.3125, 67.5, 75.25, 0.7
73.625, 69.25, 77.25, 0.75
73.5125, 70.0, 78.0, 0.8
73.925, 70.25, 77.0, 0.85
73.7375, 71.25, 77.5, 0.9
73.2625, 69.5, 77.75, 0.95
71.975, 66.75, 75.25, 1.0
