average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
9.99583333333, 8.0, 11.3333333333, 0.0
12.0291666667, 9.66666666667, 13.9166666667, 0.05
15.2833333333, 13.5, 17.4166666667, 0.1
19.6333333333, 17.9166666667, 22.3333333333, 0.15
24.7625, 22.5833333333, 28.3333333333, 0.2
30.2541666667, 27.0833333333, 33.1666666667, 0.25
34.2916666667, 32.25, 36.3333333333, 0.3
37.05, 35.1666666667, 39.0, 0.35
38.6708333333, 37.6666666667, 40.25, 0.4
40.1708333333, 38.1666666667, 43.1666666667, 0.45
40.8208333333, 38.6666666667, 43.0, 0.5
40.3583333333, 37.6666666667, 42.8333333333, 0.55
40.4333333333, 38.3333333333, 42.5833333333, 0.6
40.0416666667, 37.5833333333, 41.4166666667, 0.65
39.6333333333, 37.0, 41.0, 0.7
38.1541666667, 35.5833333333, 40.4166666667, 0.75
37.525, 35.5, 39.75, 0.8
36.4041666667, 34.3333333333, 37.8333333333, 0.85
35.3416666667, 33.3333333333, 37.5, 0.9
34.0583333333, 32.25, 35.6666666667, 0.95
32.4791666667, 30.1666666667, 35.1666666667, 1.0
