average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
37.66, 35.4, 40.4, 0.0
52.0, 50.2, 54.8, 0.05
53.72, 52.1, 56.3, 0.1
54.295, 52.0, 57.2, 0.15
54.73, 52.2, 57.1, 0.2
55.01, 52.6, 57.2, 0.25
54.835, 52.4, 56.8, 0.3
54.605, 52.3, 57.4, 0.35
54.285, 51.4, 56.3, 0.4
53.38, 51.6, 54.5, 0.45
52.475, 51.1, 55.3, 0.5
51.76, 50.6, 54.2, 0.55
50.265, 48.7, 52.6, 0.6
49.325, 47.1, 51.5, 0.65
48.33, 46.5, 50.4, 0.7
47.115, 44.6, 49.9, 0.75
45.155, 42.7, 47.8, 0.8
43.72, 41.1, 45.9, 0.85
42.405, 39.5, 44.6, 0.9
40.825, 39.2, 42.5, 0.95
40.76, 38.5, 42.1, 1.0
