average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
87.125, 82.0, 90.5, 0.0
88.35, 82.5, 94.0, 0.05
88.325, 83.5, 92.0, 0.1
89.15, 84.5, 94.0, 0.15
88.125, 83.0, 93.0, 0.2
89.35, 87.0, 91.5, 0.25
88.75, 85.5, 92.0, 0.3
88.55, 86.0, 91.0, 0.35
87.925, 80.5, 94.0, 0.4
88.275, 84.0, 93.0, 0.45
86.95, 82.5, 93.0, 0.5
87.475, 85.0, 91.5, 0.55
87.025, 82.0, 90.0, 0.6
87.275, 84.0, 90.5, 0.65
87.325, 82.5, 91.0, 0.7
85.05, 81.5, 89.0, 0.75
84.15, 78.5, 88.0, 0.8
84.475, 78.0, 90.0, 0.85
81.875, 77.5, 87.0, 0.9
79.675, 75.0, 84.0, 0.95
79.25, 75.0, 86.0, 1.0
