average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
56.6916666667, 54.6666666667, 58.6666666667, 0.0
69.325, 67.5, 71.3333333333, 0.05
71.0083333333, 68.0, 73.0, 0.1
71.1916666667, 67.8333333333, 74.6666666667, 0.15
71.5416666667, 68.3333333333, 73.0, 0.2
70.7833333333, 68.3333333333, 74.3333333333, 0.25
71.0583333333, 69.3333333333, 73.6666666667, 0.3
69.8833333333, 67.6666666667, 72.3333333333, 0.35
69.2833333333, 66.6666666667, 72.0, 0.4
68.6916666667, 65.3333333333, 72.5, 0.45
67.6166666667, 64.6666666667, 70.3333333333, 0.5
67.3583333333, 64.3333333333, 70.1666666667, 0.55
64.7416666667, 62.1666666667, 66.6666666667, 0.6
63.7166666667, 61.0, 66.3333333333, 0.65
62.2333333333, 59.8333333333, 64.0, 0.7
60.4666666667, 58.0, 62.6666666667, 0.75
58.2333333333, 55.6666666667, 60.5, 0.8
56.2833333333, 54.1666666667, 58.5, 0.85
54.425, 50.8333333333, 58.1666666667, 0.9
52.3333333333, 47.8333333333, 54.8333333333, 0.95
51.4416666667, 48.3333333333, 53.8333333333, 1.0
