average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
72.5125, 68.75, 75.25, 0.0
81.825, 77.0, 84.25, 0.05
81.7, 78.0, 85.25, 0.1
81.2875, 78.75, 85.0, 0.15
81.3875, 79.25, 82.75, 0.2
81.6, 79.0, 84.75, 0.25
81.475, 79.75, 83.75, 0.3
79.825, 76.75, 83.5, 0.35
79.3, 76.25, 82.75, 0.4
79.4, 75.25, 83.25, 0.45
78.625, 74.0, 81.25, 0.5
78.225, 72.25, 80.25, 0.55
76.3875, 73.0, 79.25, 0.6
75.2625, 72.5, 79.75, 0.65
73.425, 70.5, 76.5, 0.7
71.4625, 66.25, 75.25, 0.75
69.3875, 65.75, 73.0, 0.8
66.8375, 63.5, 69.25, 0.85
64.9375, 60.0, 69.75, 0.9
62.6875, 57.5, 65.75, 0.95
61.2625, 57.75, 64.25, 1.0
