average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
39.15, 31.5, 45.0, 0.0
48.675, 38.5, 56.0, 0.05
57.525, 50.0, 65.5, 0.1
63.4, 56.0, 71.0, 0.15
67.9, 63.0, 72.5, 0.2
73.6, 70.5, 77.5, 0.25
75.475, 71.0, 80.0, 0.3
79.3, 74.0, 86.0, 0.35
81.55, 75.5, 85.5, 0.4
83.625, 79.5, 86.5, 0.45
85.075, 81.0, 90.0, 0.5
86.8, 83.5, 89.5, 0.55
87.325, 84.5, 90.5, 0.6
88.425, 83.0, 92.0, 0.65
90.175, 87.0, 95.0, 0.7
91.9, 89.0, 94.5, 0.75
91.3, 89.0, 93.5, 0.8
92.25, 86.5, 95.0, 0.85
92.775, 89.0, 96.5, 0.9
93.55, 89.5, 96.0, 0.95
93.65, 91.0, 98.0, 1.0
