average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
38.785, 35.8, 41.5, 0.0
46.19, 42.7, 49.4, 0.05
50.765, 48.2, 54.3, 0.1
53.285, 51.1, 55.8, 0.15
55.565, 53.3, 58.2, 0.2
55.79, 53.1, 58.5, 0.25
56.235, 53.3, 59.0, 0.3
56.18, 53.1, 58.2, 0.35
55.62, 53.6, 57.4, 0.4
55.6, 53.0, 59.0, 0.45
54.935, 50.6, 58.3, 0.5
53.55, 49.4, 56.9, 0.55
52.935, 50.4, 55.1, 0.6
51.675, 48.8, 54.4, 0.65
50.98, 48.3, 53.4, 0.7
49.635, 46.3, 51.6, 0.75
48.805, 46.6, 51.2, 0.8
48.03, 45.4, 50.1, 0.85
46.745, 43.3, 49.5, 0.9
45.105, 42.0, 47.4, 0.95
44.16, 42.4, 47.2, 1.0
