average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
39.5916666667, 33.0, 43.1666666667, 0.0
47.5833333333, 44.1666666667, 51.5, 0.05
55.475, 51.6666666667, 60.1666666667, 0.1
60.1916666667, 55.0, 64.0, 0.15
64.825, 61.8333333333, 66.5, 0.2
67.2, 64.1666666667, 71.5, 0.25
68.2916666667, 65.1666666667, 72.0, 0.3
70.5666666667, 67.5, 73.1666666667, 0.35
69.9666666667, 66.8333333333, 72.6666666667, 0.4
71.0916666667, 69.0, 73.6666666667, 0.45
71.0416666667, 69.0, 73.1666666667, 0.5
70.6916666667, 66.0, 74.8333333333, 0.55
70.2916666667, 68.1666666667, 73.3333333333, 0.6
70.5416666667, 67.8333333333, 73.1666666667, 0.65
69.925, 67.1666666667, 74.0, 0.7
69.3666666667, 67.1666666667, 72.5, 0.75
68.8083333333, 66.1666666667, 71.3333333333, 0.8
67.3333333333, 64.5, 70.0, 0.85
66.9333333333, 63.6666666667, 70.5, 0.9
64.4583333333, 61.8333333333, 69.1666666667, 0.95
63.8166666667, 59.1666666667, 68.8333333333, 1.0
