average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
38.0166666667, 34.3333333333, 41.4166666667, 0.0
43.2791666667, 39.8333333333, 46.0833333333, 0.05
47.1916666667, 45.1666666667, 49.0833333333, 0.1
49.45, 46.75, 51.25, 0.15
50.9708333333, 48.9166666667, 52.8333333333, 0.2
51.0458333333, 49.0833333333, 54.0, 0.25
51.3291666667, 48.4166666667, 53.6666666667, 0.3
50.8041666667, 48.4166666667, 52.8333333333, 0.35
50.2416666667, 47.8333333333, 52.3333333333, 0.4
49.4416666667, 46.8333333333, 52.1666666667, 0.45
48.9791666667, 47.0, 51.5, 0.5
47.2958333333, 45.9166666667, 49.3333333333, 0.55
46.175, 43.75, 47.8333333333, 0.6
46.025, 43.8333333333, 49.0833333333, 0.65
44.4666666667, 42.25, 48.0833333333, 0.7
43.0583333333, 41.25, 45.0833333333, 0.75
42.2708333333, 40.0, 44.75, 0.8
41.2125, 39.5833333333, 42.9166666667, 0.85
40.1333333333, 38.75, 41.75, 0.9
38.8083333333, 36.25, 41.5, 0.95
38.0666666667, 35.5833333333, 40.4166666667, 1.0
