average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
37.0214285714, 34.7857142857, 39.7857142857, 0.0
41.0178571429, 39.0714285714, 42.7142857143, 0.05
44.6321428571, 43.0, 46.7142857143, 0.1
45.9428571429, 43.5714285714, 48.7142857143, 0.15
46.7321428571, 44.4285714286, 48.7857142857, 0.2
46.6964285714, 44.7142857143, 48.0, 0.25
46.3892857143, 44.2142857143, 48.3571428571, 0.3
45.4928571429, 43.7857142857, 47.0, 0.35
44.7714285714, 42.7857142857, 46.4285714286, 0.4
44.4892857143, 43.2857142857, 46.0714285714, 0.45
43.325, 41.2857142857, 45.7857142857, 0.5
42.5714285714, 39.7142857143, 45.2857142857, 0.55
41.6928571429, 40.0, 44.5, 0.6
39.9285714286, 38.0714285714, 41.7142857143, 0.65
39.1821428571, 37.0714285714, 40.7857142857, 0.7
37.95, 35.7142857143, 39.7142857143, 0.75
37.4285714286, 35.7142857143, 39.5714285714, 0.8
35.6392857143, 32.7142857143, 37.5, 0.85
34.7857142857, 32.9285714286, 37.0, 0.9
34.3107142857, 32.1428571429, 36.3571428571, 0.95
32.8178571429, 30.5, 34.8571428571, 1.0
