average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
39.1, 34.25, 43.25, 0.0
46.76875, 42.75, 50.5, 0.05
52.85, 50.75, 57.0, 0.1
57.78125, 54.75, 60.875, 0.15
59.8375, 58.125, 63.375, 0.2
61.55625, 58.875, 64.875, 0.25
62.83125, 57.625, 65.125, 0.3
63.24375, 61.5, 65.375, 0.35
63.45, 60.875, 65.25, 0.4
62.86875, 60.25, 65.375, 0.45
62.2125, 59.5, 66.25, 0.5
62.7625, 60.125, 65.0, 0.55
60.63125, 56.625, 64.375, 0.6
60.64375, 58.625, 63.375, 0.65
59.425, 55.25, 61.75, 0.7
58.0875, 55.625, 62.125, 0.75
57.15, 53.625, 60.625, 0.8
56.1375, 53.0, 59.375, 0.85
55.40625, 52.875, 57.875, 0.9
53.825, 50.5, 56.625, 0.95
52.475, 49.125, 54.5, 1.0
