average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
5.8, 2.0, 12.0, 0.0
6.0, 3.0, 10.0, 0.05
6.0, 3.0, 10.0, 0.1
5.7, 3.0, 9.0, 0.15
6.0, 2.0, 9.0, 0.2
5.7, 3.0, 9.0, 0.25
6.05, 3.0, 13.0, 0.3
5.65, 2.0, 10.0, 0.35
6.5, 4.0, 11.0, 0.4
5.2, 1.0, 12.0, 0.45
5.95, 2.0, 13.0, 0.5
5.55, 2.0, 11.0, 0.55
5.2, 2.0, 8.0, 0.6
6.6, 2.0, 10.0, 0.65
5.7, 2.0, 14.0, 0.7
6.55, 2.0, 12.0, 0.75
5.75, 2.0, 10.0, 0.8
6.45, 3.0, 12.0, 0.85
6.35, 3.0, 10.0, 0.9
6.45, 2.0, 15.0, 0.95
5.35, 1.0, 10.0, 1.0
