average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
6.11, 4.0, 7.8, 0.0
5.7, 3.8, 7.8, 0.05
5.87, 3.2, 8.4, 0.1
6.03, 3.8, 8.6, 0.15
5.86, 4.6, 8.2, 0.2
6.02, 5.0, 7.4, 0.25
5.51, 2.8, 7.2, 0.3
5.91, 4.2, 7.4, 0.35
5.94, 4.2, 9.0, 0.4
6.22, 3.4, 8.2, 0.45
5.9, 4.2, 8.8, 0.5
5.88, 4.4, 7.8, 0.55
5.96, 4.6, 8.8, 0.6
6.04, 4.4, 8.4, 0.65
5.85, 4.8, 8.2, 0.7
6.3, 4.0, 9.0, 0.75
6.06, 3.8, 8.6, 0.8
6.02, 3.8, 8.8, 0.85
6.04, 2.6, 8.2, 0.9
5.91, 3.8, 8.2, 0.95
6.1, 5.0, 8.0, 1.0
