average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
5.59375, 4.125, 7.375, 0.0
5.89375, 4.5, 7.75, 0.05
5.9375, 4.625, 7.75, 0.1
5.76875, 3.875, 7.875, 0.15
5.6625, 3.875, 8.0, 0.2
5.54375, 4.75, 6.875, 0.25
6.0375, 4.625, 7.375, 0.3
5.98125, 4.875, 7.125, 0.35
5.86875, 4.0, 7.5, 0.4
6.19375, 5.125, 7.625, 0.45
5.58125, 3.875, 7.5, 0.5
5.74375, 4.5, 7.875, 0.55
5.825, 4.25, 7.375, 0.6
5.68125, 4.375, 7.625, 0.65
6.1125, 5.25, 7.875, 0.7
6.0, 4.875, 7.375, 0.75
5.9, 4.0, 7.25, 0.8
5.9, 4.0, 7.75, 0.85
6.18125, 4.75, 7.375, 0.9
5.775, 4.375, 7.125, 0.95
5.74375, 4.625, 7.125, 1.0
