average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
5.6, 4.1, 6.8, 0.0
5.645, 4.7, 6.3, 0.05
5.975, 4.8, 7.4, 0.1
5.82, 4.4, 7.7, 0.15
6.155, 4.6, 8.7, 0.2
6.135, 5.1, 7.1, 0.25
5.48, 4.1, 6.9, 0.3
5.71, 4.3, 7.1, 0.35
5.565, 4.5, 7.1, 0.4
5.94, 4.5, 7.3, 0.45
5.915, 5.1, 6.9, 0.5
6.095, 5.3, 7.2, 0.55
5.985, 4.5, 7.0, 0.6
5.985, 5.2, 7.0, 0.65
6.115, 4.6, 7.3, 0.7
6.07, 5.0, 7.1, 0.75
6.11, 4.7, 8.0, 0.8
6.025, 4.9, 7.3, 0.85
5.71, 4.4, 7.1, 0.9
5.96, 4.6, 7.5, 0.95
5.755, 4.5, 7.5, 1.0
