average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
5.2, 0.0, 12.0, 0.0
7.2, 2.0, 14.0, 0.05
6.4, 2.0, 16.0, 0.1
6.6, 2.0, 10.0, 0.15
5.7, 0.0, 12.0, 0.2
6.4, 0.0, 14.0, 0.25
7.6, 0.0, 12.0, 0.3
6.0, 2.0, 12.0, 0.35
6.1, 2.0, 14.0, 0.4
4.6, 0.0, 14.0, 0.45
6.4, 2.0, 12.0, 0.5
6.2, 0.0, 12.0, 0.55
6.7, 0.0, 12.0, 0.6
7.3, 2.0, 14.0, 0.65
6.4, 2.0, 14.0, 0.7
6.7, 2.0, 20.0, 0.75
5.6, 2.0, 12.0, 0.8
6.2, 0.0, 16.0, 0.85
6.0, 2.0, 10.0, 0.9
5.0, 0.0, 12.0, 0.95
4.9, 0.0, 10.0, 1.0
