average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
6.225, 3.0, 8.5, 0.0
6.55, 4.5, 10.5, 0.05
5.45, 0.5, 8.0, 0.1
6.075, 3.5, 9.5, 0.15
5.55, 2.5, 9.0, 0.2
6.55, 3.0, 10.5, 0.25
5.8, 2.5, 8.0, 0.3
6.125, 3.5, 11.0, 0.35
5.975, 2.5, 9.0, 0.4
5.825, 3.0, 8.5, 0.45
5.5, 3.0, 8.0, 0.5
6.3, 4.5, 9.0, 0.55
5.775, 3.0, 8.0, 0.6
6.075, 3.0, 9.5, 0.65
6.05, 4.0, 9.5, 0.7
6.225, 3.5, 8.5, 0.75
4.975, 1.5, 6.5, 0.8
6.175, 3.0, 11.5, 0.85
5.85, 3.0, 9.5, 0.9
6.275, 3.5, 10.0, 0.95
5.5, 3.0, 8.5, 1.0
