average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
4.05, 2.875, 5.5, 0.0
3.9625, 2.25, 5.0, 0.05
4.2875, 3.125, 6.5, 0.1
3.9625, 2.625, 5.0, 0.15
4.3875, 3.0, 5.0, 0.2
4.4, 3.125, 6.125, 0.25
4.68125, 3.0, 6.75, 0.3
4.46875, 3.5, 6.0, 0.35
4.3375, 2.875, 5.5, 0.4
4.76875, 4.0, 6.0, 0.45
4.7625, 3.5, 6.0, 0.5
4.8375, 3.5, 6.375, 0.55
5.0625, 4.125, 6.25, 0.6
4.75625, 3.625, 6.25, 0.65
5.10625, 4.0, 7.25, 0.7
5.29375, 4.125, 7.625, 0.75
5.26875, 4.25, 7.25, 0.8
5.675, 3.75, 7.125, 0.85
5.475, 3.875, 7.0, 0.9
5.425, 3.25, 7.0, 0.95
5.84375, 3.875, 7.875, 1.0
