average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
3.99, 2.6, 5.8, 0.0
4.16, 2.6, 5.6, 0.05
3.74, 2.4, 5.6, 0.1
4.44, 3.0, 5.6, 0.15
4.26, 2.4, 6.6, 0.2
4.49, 3.0, 6.6, 0.25
4.75, 2.8, 7.0, 0.3
4.76, 3.2, 6.4, 0.35
4.4, 2.6, 6.8, 0.4
4.8, 3.2, 6.4, 0.45
5.0, 2.8, 7.8, 0.5
4.83, 3.2, 6.4, 0.55
4.94, 3.4, 8.0, 0.6
5.3, 2.0, 8.4, 0.65
5.03, 3.2, 6.2, 0.7
5.47, 3.6, 7.8, 0.75
5.69, 3.8, 7.4, 0.8
5.31, 3.2, 7.2, 0.85
5.79, 4.0, 7.8, 0.9
5.7, 4.0, 8.2, 0.95
5.6, 4.0, 7.8, 1.0
