average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
3.88333333333, 2.16666666667, 5.0, 0.0
3.95, 2.16666666667, 5.33333333333, 0.05
4.31666666667, 2.83333333333, 5.83333333333, 0.1
3.81666666667, 2.33333333333, 5.33333333333, 0.15
4.06666666667, 2.83333333333, 5.83333333333, 0.2
4.35833333333, 2.83333333333, 5.83333333333, 0.25
4.625, 2.83333333333, 6.0, 0.3
4.875, 3.16666666667, 7.33333333333, 0.35
4.40833333333, 3.33333333333, 5.33333333333, 0.4
4.7, 3.0, 6.16666666667, 0.45
5.06666666667, 3.33333333333, 6.5, 0.5
4.71666666667, 3.5, 5.83333333333, 0.55
4.83333333333, 3.0, 6.33333333333, 0.6
5.225, 3.16666666667, 6.83333333333, 0.65
5.675, 4.66666666667, 7.0, 0.7
5.925, 4.5, 7.5, 0.75
5.70833333333, 4.5, 7.66666666667, 0.8
5.45, 3.16666666667, 7.0, 0.85
5.625, 4.16666666667, 7.33333333333, 0.9
6.175, 4.83333333333, 7.66666666667, 0.95
5.74166666667, 4.16666666667, 7.5, 1.0
