average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
3.95, 2.0, 5.25, 0.0
3.9625, 2.0, 6.0, 0.05
4.5125, 2.75, 6.75, 0.1
3.9375, 2.25, 5.25, 0.15
4.2125, 2.25, 6.5, 0.2
4.0, 2.5, 6.0, 0.25
4.55, 3.0, 6.75, 0.3
4.3875, 2.75, 6.25, 0.35
4.4625, 2.75, 6.5, 0.4
4.6, 3.25, 7.0, 0.45
4.6125, 2.75, 6.5, 0.5
4.5875, 3.5, 6.25, 0.55
4.8875, 3.25, 8.0, 0.6
5.35, 2.25, 7.25, 0.65
5.25, 3.5, 7.0, 0.7
5.225, 3.5, 7.0, 0.75
5.125, 3.25, 7.5, 0.8
5.2, 3.25, 7.5, 0.85
5.7125, 3.25, 7.75, 0.9
5.85, 4.25, 8.0, 0.95
5.775, 4.0, 8.0, 1.0
