average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
3.82, 2.7, 5.1, 0.0
3.955, 3.1, 4.8, 0.05
3.915, 3.1, 4.8, 0.1
4.125, 3.0, 5.0, 0.15
4.195, 3.2, 5.3, 0.2
4.41, 3.6, 5.7, 0.25
4.695, 3.8, 6.1, 0.3
4.555, 3.6, 5.9, 0.35
4.365, 3.5, 5.2, 0.4
4.61, 3.3, 6.2, 0.45
4.63, 3.4, 6.3, 0.5
4.65, 3.8, 5.9, 0.55
4.795, 3.5, 6.9, 0.6
4.86, 3.8, 6.3, 0.65
5.12, 3.8, 7.0, 0.7
5.31, 4.1, 6.8, 0.75
5.01, 3.7, 5.9, 0.8
5.23, 4.0, 6.5, 0.85
5.16, 4.0, 6.5, 0.9
4.955, 4.0, 6.0, 0.95
5.525, 4.5, 6.8, 1.0
