average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
3.7, 1.0, 7.0, 0.0
4.45, 1.0, 9.0, 0.05
4.4, 1.0, 7.0, 0.1
3.8, 1.0, 7.0, 0.15
4.7, 1.0, 8.0, 0.2
4.85, 1.0, 8.0, 0.25
3.8, 0.0, 8.0, 0.3
4.15, 1.0, 9.0, 0.35
4.2, 2.0, 7.0, 0.4
5.1, 3.0, 11.0, 0.45
4.45, 1.0, 9.0, 0.5
4.2, 1.0, 7.0, 0.55
4.7, 2.0, 9.0, 0.6
6.05, 1.0, 12.0, 0.65
4.9, 1.0, 12.0, 0.7
5.8, 3.0, 11.0, 0.75
5.3, 0.0, 9.0, 0.8
5.25, 1.0, 8.0, 0.85
6.55, 2.0, 10.0, 0.9
6.3, 3.0, 13.0, 0.95
6.45, 2.0, 10.0, 1.0
