average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
4.3, 1.33333333333, 7.33333333333, 0.0
4.13333333333, 1.33333333333, 7.33333333333, 0.05
3.4, 2.0, 7.33333333333, 0.1
4.03333333333, 2.0, 6.66666666667, 0.15
4.36666666667, 2.0, 6.0, 0.2
4.56666666667, 2.0, 7.33333333333, 0.25
5.2, 1.33333333333, 9.33333333333, 0.3
4.1, 1.33333333333, 8.66666666667, 0.35
3.7, 2.66666666667, 6.0, 0.4
4.86666666667, 2.0, 7.33333333333, 0.45
4.83333333333, 2.0, 7.33333333333, 0.5
4.63333333333, 2.0, 8.0, 0.55
4.5, 1.33333333333, 6.66666666667, 0.6
5.73333333333, 1.33333333333, 9.33333333333, 0.65
5.4, 1.33333333333, 8.66666666667, 0.7
5.66666666667, 2.66666666667, 11.3333333333, 0.75
5.36666666667, 2.66666666667, 9.33333333333, 0.8
5.56666666667, 2.0, 10.0, 0.85
4.96666666667, 3.33333333333, 8.66666666667, 0.9
6.1, 2.66666666667, 8.66666666667, 0.95
5.56666666667, 3.33333333333, 8.66666666667, 1.0
