average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
3.7, 0.0, 8.0, 0.0
4.9, 0.0, 10.0, 0.05
4.3, 0.0, 10.0, 0.1
3.8, 0.0, 8.0, 0.15
4.9, 0.0, 14.0, 0.2
4.9, 0.0, 12.0, 0.25
4.7, 0.0, 8.0, 0.3
5.0, 0.0, 12.0, 0.35
4.6, 2.0, 10.0, 0.4
4.5, 0.0, 12.0, 0.45
4.6, 0.0, 10.0, 0.5
3.9, 0.0, 14.0, 0.55
5.2, 0.0, 10.0, 0.6
6.1, 2.0, 12.0, 0.65
4.8, 0.0, 10.0, 0.7
5.9, 2.0, 12.0, 0.75
5.0, 0.0, 10.0, 0.8
5.3, 0.0, 16.0, 0.85
4.8, 0.0, 10.0, 0.9
6.0, 0.0, 10.0, 0.95
5.6, 2.0, 10.0, 1.0
