average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
3.725, 2.5, 5.5, 0.0
3.825, 2.0, 7.0, 0.05
4.2, 1.0, 8.0, 0.1
3.675, 1.0, 5.5, 0.15
3.975, 1.5, 7.5, 0.2
4.6, 2.5, 7.0, 0.25
4.075, 1.5, 5.5, 0.3
4.2, 2.0, 7.5, 0.35
5.575, 3.5, 7.5, 0.4
4.225, 2.5, 6.0, 0.45
5.075, 1.0, 10.0, 0.5
5.075, 2.5, 11.0, 0.55
4.575, 2.0, 7.0, 0.6
4.95, 3.5, 8.0, 0.65
5.175, 2.0, 8.0, 0.7
5.35, 2.0, 9.0, 0.75
5.45, 3.0, 10.5, 0.8
5.55, 2.0, 8.5, 0.85
5.625, 3.5, 8.5, 0.9
5.725, 2.5, 8.5, 0.95
6.1, 4.0, 9.5, 1.0
