average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
3.1, 2.9, 3.25, 0.0
6.7775, 6.7, 6.9125, 0.1
7.37, 7.2125, 7.5625, 0.2
7.3075, 7.175, 7.4875, 0.3
6.8975, 6.55, 7.0625, 0.4
6.5625, 6.2875, 6.8, 0.5
6.0125, 5.6375, 6.3, 0.6
5.7625, 5.6875, 5.875, 0.7
5.3175, 5.2125, 5.5375, 0.8
5.1825, 5.125, 5.3375, 0.9
4.89, 4.725, 5.15, 1.0
