average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
2.63333333333, 1.66666666667, 5.0, 0.0
2.61666666667, 0.666666666667, 5.33333333333, 0.05
2.95, 1.0, 5.33333333333, 0.1
3.18333333333, 1.66666666667, 5.0, 0.15
3.21666666667, 1.0, 6.0, 0.2
3.26666666667, 1.66666666667, 4.66666666667, 0.25
3.3, 2.0, 5.0, 0.3
3.6, 1.0, 5.66666666667, 0.35
3.75, 2.0, 5.66666666667, 0.4
4.41666666667, 2.66666666667, 5.66666666667, 0.45
4.78333333333, 3.0, 6.66666666667, 0.5
5.31666666667, 3.0, 8.33333333333, 0.55
5.66666666667, 4.0, 8.66666666667, 0.6
6.65, 3.0, 10.3333333333, 0.65
7.7, 5.0, 10.6666666667, 0.7
9.8, 5.0, 12.6666666667, 0.75
11.95, 8.33333333333, 17.0, 0.8
15.6166666667, 11.6666666667, 18.6666666667, 0.85
19.1166666667, 16.3333333333, 22.0, 0.9
22.85, 21.3333333333, 25.3333333333, 0.95
25.4, 21.3333333333, 28.0, 1.0
