average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
2.44, 1.2, 4.0, 0.0
2.63, 1.2, 3.8, 0.05
2.9, 1.6, 4.4, 0.1
2.95, 1.4, 5.0, 0.15
3.51, 1.6, 5.0, 0.2
3.28, 1.4, 4.8, 0.25
3.39, 1.8, 5.0, 0.3
3.74, 1.6, 5.2, 0.35
3.96, 1.6, 5.4, 0.4
4.19, 2.6, 5.6, 0.45
4.69, 2.8, 6.2, 0.5
5.14, 2.6, 6.8, 0.55
6.25, 4.6, 8.6, 0.6
6.59, 4.8, 8.0, 0.65
8.02, 6.4, 9.6, 0.7
9.03, 6.4, 11.0, 0.75
11.52, 9.0, 13.8, 0.8
14.27, 12.0, 16.2, 0.85
16.7, 14.4, 18.8, 0.9
18.98, 16.4, 22.0, 0.95
21.22, 19.2, 24.2, 1.0
