average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
2.5125, 1.125, 3.75, 0.0
2.5375, 1.375, 3.5, 0.05
2.825, 2.125, 4.375, 0.1
2.9125, 1.625, 4.375, 0.15
2.8, 1.875, 4.125, 0.2
3.5875, 2.25, 4.625, 0.25
3.075, 1.75, 3.875, 0.3
3.8125, 3.125, 4.625, 0.35
4.0375, 2.5, 5.25, 0.4
4.28125, 2.5, 6.25, 0.45
4.5, 2.625, 6.125, 0.5
5.10625, 4.0, 6.25, 0.55
5.93125, 4.75, 7.5, 0.6
6.04375, 4.375, 7.625, 0.65
6.875, 5.5, 8.5, 0.7
8.11875, 7.0, 9.75, 0.75
9.4125, 8.25, 11.375, 0.8
11.2, 9.625, 12.5, 0.85
13.625, 11.375, 14.875, 0.9
14.45625, 13.125, 16.5, 0.95
15.89375, 14.375, 17.875, 1.0
