average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
2.575, 0.5, 4.5, 0.0
2.7, 0.25, 5.0, 0.05
2.75, 0.5, 5.5, 0.1
2.925, 1.0, 4.25, 0.15
3.2875, 1.75, 5.25, 0.2
3.3125, 1.75, 5.0, 0.25
3.5375, 2.5, 4.5, 0.3
3.7875, 2.0, 6.0, 0.35
3.7625, 2.25, 6.25, 0.4
4.7, 3.25, 6.75, 0.45
4.7625, 2.75, 6.25, 0.5
5.4125, 2.75, 8.5, 0.55
6.1375, 3.25, 8.25, 0.6
6.95, 4.25, 10.75, 0.65
7.75, 4.75, 10.25, 0.7
9.3625, 7.0, 11.5, 0.75
11.575, 8.0, 14.75, 0.8
14.6875, 12.25, 17.75, 0.85
17.5, 13.5, 20.75, 0.9
21.2375, 18.5, 23.75, 0.95
22.9125, 21.0, 24.75, 1.0
