average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
2.35, 1.0, 5.0, 0.0
2.85, 1.0, 7.0, 0.05
2.65, 1.0, 5.0, 0.1
3.3, 0.0, 5.0, 0.15
3.15, 1.0, 6.0, 0.2
3.45, 0.0, 6.0, 0.25
2.8, 0.0, 5.0, 0.3
4.4, 1.0, 9.0, 0.35
4.35, 1.0, 10.0, 0.4
3.3, 1.0, 8.0, 0.45
4.85, 2.0, 9.0, 0.5
5.25, 3.0, 10.0, 0.55
6.4, 1.0, 10.0, 0.6
6.75, 4.0, 10.0, 0.65
7.5, 2.0, 11.0, 0.7
9.05, 3.0, 17.0, 0.75
11.35, 6.0, 16.0, 0.8
14.45, 9.0, 20.0, 0.85
21.4, 14.0, 28.0, 0.9
24.05, 19.0, 31.0, 0.95
29.8, 18.0, 38.0, 1.0
