average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
2.175, 0.5, 5.0, 0.0
2.65, 1.0, 5.0, 0.05
3.0, 1.5, 5.5, 0.1
2.85, 0.5, 5.0, 0.15
3.2, 1.5, 5.0, 0.2
3.475, 2.0, 5.5, 0.25
3.4, 0.5, 7.0, 0.3
3.15, 1.0, 5.5, 0.35
4.175, 2.5, 7.0, 0.4
4.725, 3.0, 7.0, 0.45
4.775, 1.5, 7.0, 0.5
4.725, 2.0, 6.5, 0.55
5.4, 3.0, 8.5, 0.6
6.75, 3.0, 9.0, 0.65
7.5, 5.5, 9.5, 0.7
8.7, 4.0, 13.0, 0.75
12.225, 8.0, 16.5, 0.8
15.75, 12.5, 19.5, 0.85
20.65, 16.0, 27.0, 0.9
23.25, 17.5, 27.0, 0.95
27.65, 19.5, 32.0, 1.0
