average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
28.025, 21.5, 33.0, 0.0
36.3, 30.5, 45.0, 0.05
46.65, 38.5, 57.5, 0.1
56.225, 48.5, 66.0, 0.15
64.525, 59.0, 70.5, 0.2
70.175, 64.5, 76.0, 0.25
75.2, 67.5, 84.5, 0.3
78.825, 74.0, 87.5, 0.35
82.45, 78.5, 87.5, 0.4
83.1, 77.0, 89.5, 0.45
86.05, 82.5, 90.5, 0.5
87.725, 83.5, 90.5, 0.55
89.325, 86.5, 92.0, 0.6
90.25, 86.5, 93.5, 0.65
91.2, 88.5, 94.5, 0.7
91.15, 87.5, 94.0, 0.75
92.375, 89.0, 95.0, 0.8
92.325, 88.5, 97.0, 0.85
93.3, 89.0, 95.5, 0.9
94.075, 91.5, 96.0, 0.95
93.425, 90.5, 96.0, 1.0
