average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
28.35625, 25.375, 32.25, 0.0
34.98125, 30.125, 38.875, 0.05
42.1875, 37.125, 49.875, 0.1
50.225, 46.25, 52.875, 0.15
55.54375, 50.875, 59.25, 0.2
58.94375, 55.375, 63.0, 0.25
61.7625, 57.625, 65.25, 0.3
63.675, 60.75, 66.75, 0.35
64.56875, 61.375, 67.375, 0.4
63.70625, 61.0, 66.5, 0.45
64.4875, 61.625, 66.75, 0.5
63.15625, 61.375, 65.875, 0.55
62.775, 57.5, 65.375, 0.6
61.71875, 58.75, 66.625, 0.65
60.61875, 57.375, 63.75, 0.7
59.3875, 55.875, 62.125, 0.75
57.9875, 54.5, 60.125, 0.8
56.675, 54.25, 60.25, 0.85
55.6875, 52.0, 59.375, 0.9
53.55, 48.375, 56.5, 0.95
52.35625, 49.75, 56.875, 1.0
