average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
28.2375, 20.75, 35.75, 0.0
37.3125, 33.25, 43.25, 0.05
45.5625, 39.25, 51.0, 0.1
56.35, 51.5, 63.5, 0.15
63.475, 57.25, 68.25, 0.2
68.8875, 65.25, 73.5, 0.25
72.9375, 68.0, 76.5, 0.3
76.725, 72.0, 79.25, 0.35
77.9875, 72.5, 82.75, 0.4
80.775, 77.25, 85.75, 0.45
81.6125, 79.5, 84.25, 0.5
81.7875, 80.0, 84.5, 0.55
83.2375, 80.0, 85.5, 0.6
83.3875, 79.5, 87.25, 0.65
83.875, 80.75, 86.5, 0.7
83.325, 80.25, 85.5, 0.75
83.1125, 80.25, 86.25, 0.8
81.9, 77.75, 84.5, 0.85
81.525, 77.0, 87.0, 0.9
80.2125, 77.25, 83.0, 0.95
80.7375, 77.25, 86.25, 1.0
