average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
27.175, 23.9, 31.6, 0.0
33.33, 29.9, 36.4, 0.05
40.145, 35.9, 44.6, 0.1
46.86, 40.9, 49.8, 0.15
51.48, 48.7, 56.7, 0.2
53.975, 51.6, 57.0, 0.25
56.16, 51.4, 59.3, 0.3
56.675, 52.7, 59.1, 0.35
57.085, 54.6, 58.8, 0.4
57.385, 55.2, 60.1, 0.45
55.605, 53.1, 58.3, 0.5
55.555, 51.8, 58.1, 0.55
54.575, 50.4, 56.4, 0.6
53.505, 51.2, 57.2, 0.65
51.835, 48.6, 53.7, 0.7
50.79, 48.5, 53.9, 0.75
49.24, 46.3, 53.5, 0.8
48.03, 45.9, 51.1, 0.85
46.455, 44.2, 48.9, 0.9
45.45, 43.4, 49.7, 0.95
44.32, 41.5, 47.9, 1.0
