average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
27.75, 24.1666666667, 32.5, 0.0
36.9083333333, 33.0, 42.1666666667, 0.05
45.2833333333, 40.5, 49.6666666667, 0.1
53.4166666667, 49.6666666667, 59.0, 0.15
59.2666666667, 54.1666666667, 62.0, 0.2
64.3, 60.6666666667, 67.1666666667, 0.25
66.875, 64.1666666667, 69.8333333333, 0.3
69.6416666667, 66.1666666667, 71.6666666667, 0.35
71.7583333333, 65.1666666667, 76.6666666667, 0.4
72.275, 69.1666666667, 74.5, 0.45
72.9166666667, 70.1666666667, 76.1666666667, 0.5
73.25, 69.3333333333, 77.1666666667, 0.55
72.4666666667, 68.6666666667, 76.5, 0.6
72.8333333333, 70.6666666667, 75.3333333333, 0.65
70.9166666667, 67.3333333333, 73.1666666667, 0.7
70.575, 67.5, 75.1666666667, 0.75
69.75, 67.0, 73.8333333333, 0.8
68.7833333333, 65.8333333333, 71.8333333333, 0.85
67.25, 64.0, 71.0, 0.9
65.7166666667, 62.0, 68.3333333333, 0.95
64.15, 60.5, 67.3333333333, 1.0
