average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
24.3035714286, 21.7857142857, 28.5, 0.0
29.7714285714, 26.5, 32.7857142857, 0.05
35.5571428571, 33.1428571429, 39.1428571429, 0.1
40.475, 36.2142857143, 45.4285714286, 0.15
43.4285714286, 39.6428571429, 45.7142857143, 0.2
45.7, 43.7142857143, 47.8571428571, 0.25
46.5535714286, 43.6428571429, 49.0714285714, 0.3
46.4785714286, 42.9285714286, 48.5, 0.35
46.3321428571, 44.5, 48.7142857143, 0.4
45.8892857143, 41.7857142857, 47.5714285714, 0.45
44.8607142857, 42.1428571429, 47.2142857143, 0.5
43.9892857143, 42.2142857143, 46.2142857143, 0.55
42.9785714286, 40.6428571429, 45.2857142857, 0.6
41.4714285714, 39.7142857143, 42.7142857143, 0.65
40.7357142857, 37.9285714286, 42.9285714286, 0.7
38.7321428571, 37.5, 40.2857142857, 0.75
37.8285714286, 36.2857142857, 39.5714285714, 0.8
36.8428571429, 35.0714285714, 38.5714285714, 0.85
35.9357142857, 34.7142857143, 37.8571428571, 0.9
34.4535714286, 31.2142857143, 36.9285714286, 0.95
33.1892857143, 31.3571428571, 36.2857142857, 1.0
