average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
93.65, 89.5, 97.5, 0.0
94.825, 92.0, 99.0, 0.05
95.375, 92.5, 98.0, 0.1
94.925, 90.5, 97.0, 0.15
94.875, 92.5, 97.0, 0.2
95.825, 93.0, 98.5, 0.25
94.55, 92.0, 97.0, 0.3
94.95, 91.5, 98.0, 0.35
94.225, 89.0, 96.5, 0.4
94.95, 91.5, 99.0, 0.45
94.775, 91.5, 98.0, 0.5
94.4, 91.5, 97.5, 0.55
94.1, 90.5, 98.0, 0.6
94.15, 92.0, 98.5, 0.65
93.45, 90.0, 96.5, 0.7
93.3, 91.5, 96.0, 0.75
92.9, 90.5, 97.0, 0.8
92.225, 88.5, 96.0, 0.85
90.6, 86.5, 94.5, 0.9
89.625, 85.5, 94.5, 0.95
87.025, 83.5, 90.5, 1.0
