average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
52.66875, 49.875, 54.625, 0.0
72.8625, 70.125, 75.25, 0.05
75.1, 72.75, 77.5, 0.1
75.475, 73.0, 77.875, 0.15
76.18125, 74.25, 79.0, 0.2
75.04375, 72.875, 77.75, 0.25
74.70625, 72.375, 76.875, 0.3
73.74375, 71.25, 76.25, 0.35
73.30625, 69.5, 76.25, 0.4
72.5625, 70.375, 75.75, 0.45
71.2, 67.75, 73.5, 0.5
69.64375, 66.625, 73.75, 0.55
67.90625, 64.75, 71.0, 0.6
66.35, 63.625, 68.5, 0.65
64.46875, 60.75, 66.875, 0.7
62.66875, 57.875, 65.625, 0.75
60.48125, 58.25, 63.625, 0.8
58.05, 55.375, 59.875, 0.85
56.65625, 54.125, 60.0, 0.9
54.75, 52.875, 57.5, 0.95
54.025, 51.5, 57.0, 1.0
