average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
79.35, 75.0, 83.5, 0.0
90.9125, 89.0, 93.75, 0.05
90.675, 88.25, 93.25, 0.1
90.9, 89.0, 92.75, 0.15
90.95, 88.75, 93.5, 0.2
90.925, 89.0, 93.75, 0.25
90.4375, 86.75, 92.75, 0.3
89.8625, 87.75, 92.25, 0.35
89.5875, 85.5, 91.75, 0.4
89.5875, 87.5, 91.25, 0.45
88.575, 85.5, 90.5, 0.5
88.1125, 85.25, 90.75, 0.55
86.6625, 83.25, 90.0, 0.6
85.525, 81.0, 88.75, 0.65
83.9625, 79.5, 87.25, 0.7
82.425, 79.25, 85.5, 0.75
80.9, 76.75, 84.75, 0.8
78.1625, 73.25, 81.25, 0.85
76.25, 71.0, 82.0, 0.9
73.9625, 69.25, 76.75, 0.95
72.4125, 68.5, 78.75, 1.0
