average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
43.63, 40.4, 47.0, 0.0
64.35, 61.1, 66.2, 0.05
67.175, 63.6, 69.2, 0.1
68.365, 65.8, 71.2, 0.15
68.66, 67.2, 71.9, 0.2
68.46, 66.5, 70.3, 0.25
67.81, 64.7, 71.6, 0.3
66.71, 63.6, 69.3, 0.35
65.81, 64.1, 68.6, 0.4
65.105, 62.8, 66.9, 0.45
64.465, 62.5, 66.9, 0.5
62.315, 59.0, 64.9, 0.55
60.715, 58.1, 63.0, 0.6
58.415, 55.8, 61.7, 0.65
57.18, 55.1, 59.8, 0.7
56.155, 53.7, 59.3, 0.75
54.03, 52.0, 56.0, 0.8
52.35, 50.2, 54.9, 0.85
50.525, 48.5, 52.2, 0.9
49.58, 47.6, 52.6, 0.95
49.15, 45.8, 51.6, 1.0
